year,country_name,athlete_name,medal_type,athlete_photo_url
2022,Canada,Meryeta ODINE,BRONZE,https://olympics.com/en/athletes/meryeta-odine
2022,France,Chloe TRESPEUCH,SILVER,https://olympics.com/en/athletes/chloe-trespeuch
2022,United States of America,Lindsey JACOBELLIS,GOLD,https://olympics.com/en/athletes/lindsey-jacobellis
2022,ROC,Vic WILD,BRONZE,https://olympics.com/en/athletes/vic-wild
2022,Austria,Benjamin KARL,GOLD,https://olympics.com/en/athletes/benjamin-karl
2022,Slovenia,Tim MASTNAK,SILVER,https://olympics.com/en/athletes/tim-mastnak
2022,Japan,Kokomo MURASE,BRONZE,https://olympics.com/en/athletes/murase-kokomo
2022,New Zealand,Zoi SADOWSKI SYNNOTT,SILVER,https://olympics.com/en/athletes/zoi-sadowski-synnott
2022,Austria,Anna GASSER,GOLD,https://olympics.com/en/athletes/anna-gasser
2022,Austria,Alessandro HAEMMERLE,GOLD,https://olympics.com/en/athletes/alessandro-haemmerle
2022,Italy,Omar VISINTIN,BRONZE,https://olympics.com/en/athletes/omar-visintin
2022,Canada,Eliot GRONDIN,SILVER,https://olympics.com/en/athletes/eliot-grondin
2022,Canada,Max PARROT,GOLD,https://olympics.com/en/athletes/parrot
2022,Canada,Mark MCMORRIS,BRONZE,https://olympics.com/en/athletes/mark-mcmorris
2022,People's Republic of China,Yiming SU,SILVER,https://olympics.com/en/athletes/yiming-su
2022,Switzerland,Jan SCHERRER,BRONZE,https://olympics.com/en/athletes/jan-scherrer
2022,Japan,Ayumu HIRANO,GOLD,https://olympics.com/en/athletes/ayumu-hirano
2022,Australia,Scotty JAMES,SILVER,https://olympics.com/en/athletes/scotty-james
2022,New Zealand,Zoi SADOWSKI SYNNOTT,GOLD,https://olympics.com/en/athletes/zoi-sadowski-synnott
2022,United States of America,Julia MARINO,SILVER,https://olympics.com/en/athletes/julia-marino
2022,Australia,Tess COADY,BRONZE,https://olympics.com/en/athletes/tess-coady
2022,Czech Republic,Ester LEDECKA,GOLD,https://olympics.com/en/athletes/ester-ledecka
2022,Austria,Daniela ULBING,SILVER,https://olympics.com/en/athletes/daniela-ulbing
2022,Slovenia,Gloria KOTNIK,BRONZE,https://olympics.com/en/athletes/gloria-kotnik
2022,People's Republic of China,Yiming SU,GOLD,https://olympics.com/en/athletes/yiming-su
2022,Canada,Max PARROT,BRONZE,https://olympics.com/en/athletes/parrot
2022,Norway,Mons ROISLAND,SILVER,https://olympics.com/en/athletes/roisland
2022,Japan,Ryoyu KOBAYASHI,SILVER,https://olympics.com/en/athletes/kobayashi
2022,Germany,Karl GEIGER,BRONZE,https://olympics.com/en/athletes/geiger
2022,Norway,Marius LINDVIK,GOLD,https://olympics.com/en/athletes/marius-lindvik
2022,Slovenia,Nika KRIZNAR,BRONZE,https://olympics.com/en/athletes/kriznar
2022,Slovenia,Ursa BOGATAJ,GOLD,https://olympics.com/en/athletes/ursa-bogataj
2022,Germany,Katharina ALTHAUS,SILVER,https://olympics.com/en/athletes/katharina-althaus
2022,Japan,Ryoyu KOBAYASHI,GOLD,https://olympics.com/en/athletes/kobayashi
2022,Poland,Dawid KUBACKI,BRONZE,https://olympics.com/en/athletes/dawid-kubacki
2022,Austria,Manuel FETTNER,SILVER,https://olympics.com/en/athletes/manuel-fettner
2022,People's Republic of China,Wenjing SUI,GOLD,https://olympics.com/en/athletes/wenjing-sui
2022,People's Republic of China,Cong HAN,GOLD,https://olympics.com/en/athletes/cong-han
2022,ROC,Evgenia TARASOVA,SILVER,https://olympics.com/en/athletes/tarasova
2022,ROC,Vladimir MOROZOV,SILVER,https://olympics.com/en/athletes/morozov
2022,ROC,Anastasia MISHINA,BRONZE,https://olympics.com/en/athletes/anastasia-mishina
2022,ROC,Aleksandr GALLIAMOV,BRONZE,https://olympics.com/en/athletes/aleksandr-galliamov
2022,France,Gabriella PAPADAKIS,GOLD,https://olympics.com/en/athletes/gabriella-papadakis
2022,France,Guillaume CIZERON,GOLD,https://olympics.com/en/athletes/guillaume-cizeron
2022,ROC,Victoria SINITSINA,SILVER,https://olympics.com/en/athletes/victoria-sinitsina
2022,ROC,Nikita KATSALAPOV,SILVER,https://olympics.com/en/athletes/nikita-katsalapov
2022,United States of America,Madison HUBBELL,BRONZE,https://olympics.com/en/athletes/madison-hubbell
2022,United States of America,Zachary DONOHUE,BRONZE,https://olympics.com/en/athletes/donohue
2022,ROC,Anna SHCHERBAKOVA,GOLD,https://olympics.com/en/athletes/anna-shcherbakova
2022,ROC,Alexandra Trusova,SILVER,https://olympics.com/en/athletes/alexandra-trusova
2022,Japan,Kaori SAKAMOTO,BRONZE,https://olympics.com/en/athletes/kaori-sakamoto
2022,Japan,Shoma UNO,BRONZE,https://olympics.com/en/athletes/shoma-uno
2022,Japan,Yuma KAGIYAMA,SILVER,https://olympics.com/en/athletes/yuma-kagiyama
2022,United States of America,Nathan CHEN,GOLD,https://olympics.com/en/athletes/chen
2022,Germany,Tobias WENDL,GOLD,https://olympics.com/en/athletes/tobias-wendl
2022,Germany,Tobias ARLT,GOLD,https://olympics.com/en/athletes/tobias-arlt
2022,Germany,Toni EGGERT,SILVER,https://olympics.com/en/athletes/toni-eggert
2022,Germany,Sascha BENECKEN,SILVER,https://olympics.com/en/athletes/sascha-benecken
2022,Austria,Thomas STEU,BRONZE,https://olympics.com/en/athletes/thomas-steu
